date, pm25, pm10, o3, no2
2024/10/1, 13, 6, , 
2024/10/2, 15, 6, , 
2024/10/3, 15, 12, , 
2024/10/4, 24, 5, , 
2024/10/5, 15, 8, , 
2024/10/6, 21, 5, , 
2024/10/7, 10, 4, , 
2024/10/8, 9, 4, , 
2024/10/9, 7, 3, , 
2024/10/10, 6, 4, , 
2024/10/11, 12, 3, , 
2024/10/12, 7, , , 
2024/7/1, 12, 10, , 1
2024/7/2, 21, 9, , 4
2024/7/3, 21, 5, , 3
2024/7/4, 10, 5, , 1
2024/7/5, 13, 4, , 3
2024/7/6, 9, 4, , 2
2024/7/7, 11, 4, , 2
2024/7/8, 9, 4, , 2
2024/7/9, 10, 3, , 7
2024/7/10, 10, 4, , 9
2024/7/11, 12, 7, , 8
2024/7/12, 23, 8, , 11
2024/7/13, 28, 6, , 9
2024/7/14, 22, 4, , 10
2024/7/15, 12, 3, , 8
2024/7/16, 8, 4, , 8
2024/7/17, 12, 3, , 
2024/7/18, 10, 5, , 
2024/7/19, 16, 7, , 
2024/7/20, 23, 7, , 
2024/7/21, 23, 5, , 
2024/7/22, 12, 7, , 
2024/7/23, 15, 6, , 
2024/7/24, 17, 6, , 
2024/7/25, 19, 4, , 
2024/7/26, 12, 4, , 
2024/7/27, 12, 4, , 
2024/7/28, 10, 6, , 
2024/7/29, 12, 7, , 
2024/7/30, 22, 8, , 
2024/7/31, 18, 6, , 
2024/8/1, 17, 6, , 
2024/8/2, 17, 7, , 
2024/8/3, 24, 8, , 
2024/8/4, 22, 6, , 
2024/8/5, 18, 5, , 
2024/8/6, 17, 5, , 
2024/8/7, 15, 8, , 
2024/8/8, 22, 6, , 
2024/8/9, 15, 10, , 
2024/8/10, 23, 7, , 
2024/8/11, 15, 6, , 
2024/8/12, 16, 9, , 
2024/8/13, 21, 9, , 
2024/8/14, 23, 6, , 
2024/8/15, 15, 8, , 
2024/8/16, 18, 12, , 
2024/8/17, 32, 10, , 
2024/8/18, 29, 8, , 
2024/8/19, 20, 11, , 
2024/8/20, 37, 8, , 
2024/8/21, 19, 5, , 
2024/8/22, 13, 9, , 
2024/8/23, 19, 7, , 
2024/8/24, 20, 9, , 
2024/8/25, 25, 9, , 
2024/8/26, 24, 7, , 
2024/8/27, 25, 8, , 
2024/8/28, 29, 14, , 
2024/8/29, 38, 11, , 
2024/8/30, 26, 3, , 
2024/8/31, 8, 4, , 
2024/9/1, 12, 6, , 
2024/9/2, 14, 8, , 
2024/9/3, 16, 5, , 
2024/9/4, 12, 13, , 
2024/9/5, 34, 38, , 
2024/9/6, 76, 32, , 
2024/9/7, 70, 23, , 
2024/9/8, 58, 10, , 
2024/9/9, 26, 5, , 
2024/9/10, 11, 5, , 
2024/9/11, 11, 7, , 
2024/9/12, 15, 6, , 
2024/9/13, 13, 4, , 
2024/9/14, 10, 4, , 
2024/9/15, 12, 7, , 
2024/9/16, 20, 6, , 
2024/9/17, 14, 7, , 
2024/9/18, 16, 7, , 
2024/9/19, 17, 7, , 
2024/9/20, 24, 6, , 
2024/9/21, 21, 10, , 
2024/9/22, 32, 18, , 
2024/9/23, 49, 9, , 
2024/9/24, 27, 8, , 
2024/9/25, 22, 5, , 
2024/9/26, 9, 3, , 
2024/9/27, 5, 5, , 
2024/9/28, 14, 3, , 
2024/9/29, 9, 4, , 
2024/9/30, 10, 6, , 
2024/4/1, 11, 7, , 17
2024/4/2, 12, 7, , 6
2024/4/3, 16, 5, , 5
2024/4/4, 14, 4, , 7
2024/4/5, 12, 3, , 4
2024/4/6, 10, 14, , 1
2024/4/7, 43, 14, , 1
2024/4/8, 40, 4, , 6
2024/4/9, 9, 10, , 2
2024/4/10, 24, 18, , 4
2024/4/11, 39, 17, , 3
2024/4/12, 44, 10, , 2
2024/4/13, 30, 6, , 2
2024/4/14, 14, 5, , 1
2024/4/15, 11, 5, , 8
2024/4/16, 10, 3, , 4
2024/4/17, 8, 5, , 3
2024/4/18, 11, 1, , 2
2024/4/19, 4, 5, , 1
2024/4/20, 12, 3, , 4
2024/4/21, 8, 5, , 6
2024/4/22, 13, 5, , 2
2024/4/23, 11, 5, , 1
2024/4/24, 12, 5, , 6
2024/4/25, 11, 5, , 4
2024/4/26, 15, 6, , 7
2024/4/27, 19, 3, , 5
2024/4/28, 10, 5, , 1
2024/4/29, 15, 6, , 1
2024/4/30, 14, 7, , 11
2024/5/1, 19, 14, , 12
2024/5/2, 36, 12, , 18
2024/5/3, 24, 11, , 13
2024/5/4, 24, 8, , 2
2024/5/5, 29, 12, , 4
2024/5/6, 39, 7, , 2
2024/5/7, 21, 7, , 2
2024/5/8, 19, 4, , 2
2024/5/9, 11, 9, , 5
2024/5/10, 22, 7, , 6
2024/5/11, 21, 9, , 7
2024/5/12, 33, 6, , 5
2024/5/13, 12, 7, , 4
2024/5/14, 15, 10, , 17
2024/5/15, 19, , , 
2024/5/30, 8, 7, , 5
2024/5/31, 23, 7, , 1
2024/6/1, 23, 11, , 2
2024/6/2, 34, 10, , 3
2024/6/3, 26, 10, , 2
2024/6/4, 26, 6, , 5
2024/6/5, 14, 5, , 2
2024/6/6, 13, 5, , 1
2024/6/7, 16, 3, , 1
2024/6/8, 10, 4, , 4
2024/6/9, 12, 10, , 1
2024/6/10, 24, 5, , 1
2024/6/11, 13, 9, , 1
2024/6/12, 15, 4, , 2
2024/6/13, 8, 4, , 7
2024/6/14, 12, 4, , 4
2024/6/15, 11, 3, , 4
2024/6/16, 8, 2, , 2
2024/6/17, 6, 3, , 6
2024/6/18, 8, 6, , 1
2024/6/19, 14, 11, , 2
2024/6/20, 25, 10, , 4
2024/6/21, 28, 7, , 6
2024/6/22, 23, 8, , 2
2024/6/23, 24, 12, , 7
2024/6/24, 33, 8, , 5
2024/6/25, 23, 11, , 6
2024/6/26, 35, 9, , 6
2024/6/27, 25, 8, , 
2024/6/28, 24, 10, , 3
2024/6/29, 25, 8, , 
2024/6/30, 18, 5, , 2
2024/1/1, 8, 3, , 1
2024/1/2, 6, 9, , 7
2024/1/3, 22, 24, , 12
2024/1/4, 49, 31, , 21
2024/1/5, 73, 37, , 20
2024/1/6, 93, 37, , 14
2024/1/7, 76, 38, , 25
2024/1/8, 91, 11, , 9
