date, pm25, pm10, no2
2024/10/1, 18, 15, 8
2024/10/2, 16, 11, 7
2024/10/3, 16, 5, 9
2024/10/4, 15, 4, 5
2024/10/5, 15, 3, 3
2024/10/6, 13, 14, 11
2024/10/7, 16, 39, 6
2024/10/8, 15, 9, 6
2024/10/9, 10, 48, 4
2024/10/10, 21, 4, 8
2024/10/11, 14, 20, 3
2024/10/12, 13, , 
2024/7/1, 12, 4, 4
2024/7/2, 12, 8, 5
2024/7/3, 12, 14, 4
2024/7/4, 12, 12, 13
2024/7/5, 12, 10, 6
2024/7/6, 12, 7, 3
2024/7/7, 13, 9, 2
2024/7/8, 16, 9, 3
2024/7/26, 49, , 8
2024/7/27, 43, , 4
2024/7/28, 21, , 4
2024/7/29, 41, , 5
2024/7/30, 45, , 6
2024/7/31, 47, , 8
2024/8/1, 56, , 8
2024/8/2, 53, , 8
2024/8/3, 40, , 10
2024/8/4, 54, , 9
2024/8/5, 96, , 10
2024/8/6, 371, , 10
2024/8/9, 13, 12, 7
2024/8/10, 11, 15, 9
2024/8/11, 14, 17, 6
2024/8/12, 31, 19, 7
2024/8/13, 18, 22, 9
2024/8/14, 23, 13, 17
2024/8/15, 27, 16, 11
2024/8/16, 24, 12, 4
2024/8/17, 16, 10, 5
2024/8/18, 16, 7, 7
2024/8/19, 19, , 
2024/8/21, 36, 16, 12
2024/8/22, 20, 18, 11
2024/8/23, 24, 10, 7
2024/8/24, 19, 9, 3
2024/8/25, 15, 12, 3
2024/8/26, 21, 9, 3
2024/8/27, 20, 12, 5
2024/8/28, 31, 14, 7
2024/8/29, 19, 13, 12
2024/8/30, 24, 9, 4
2024/8/31, 22, 20, 4
2024/9/1, 43, 22, 8
2024/9/2, 31, 16, 9
2024/9/3, 19, 12, 4
2024/9/4, 20, 15, 3
2024/9/5, 25, 10, 2
2024/9/6, 16, 9, 4
2024/9/7, 18, 21, 8
2024/9/8, 38, 31, 13
2024/9/9, 50, 30, 7
2024/9/10, 47, 14, 7
2024/9/11, 23, 16, 5
2024/9/12, 19, 12, 5
2024/9/13, 20, 10, 3
2024/9/14, 17, 11, 8
2024/9/15, 18, 13, 11
2024/9/16, 20, 9, 5
2024/9/17, 14, 5, 3
2024/9/18, 14, 7, 3
2024/9/19, 17, 6, 5
2024/9/20, 14, 5, 6
2024/9/21, 16, 3, 5
2024/9/22, 11, 10, 11
2024/9/23, 13, 4, 8
2024/9/24, 11, 11, 10
2024/9/25, 13, , 
2024/9/27, 24, 18, 10
2024/9/28, 21, 12, 6
2024/9/29, 21, 7, 8
2024/9/30, 14, 7, 4
2024/4/2, 33, 11, 7
2024/4/3, 20, 40, 11
2024/4/4, 41, 48, 6
2024/4/5, 46, 20, 4
2024/4/6, 27, 14, 6
2024/4/7, 21, 6, 8
2024/4/8, 18, 5, 13
2024/4/9, 19, 7, 22
2024/4/10, 18, 9, 14
2024/4/11, 26, 22, 5
2024/4/12, 30, 4, 7
2024/4/13, 14, 9, 4
2024/4/14, 24, 15, 9
2024/4/15, 30, 23, 8
2024/4/16, 33, 48, 8
2024/4/17, 50, 56, 6
2024/4/18, 57, 52, 11
2024/4/19, 54, 47, 8
2024/4/20, 50, 46, 3
2024/4/21, 47, 58, 5
2024/4/22, 57, 38, 10
2024/4/23, 44, 28, 8
2024/4/24, 37, 74, 9
2024/4/25, 79, 66, 9
2024/4/26, 67, 43, 8
2024/4/27, 49, , 
2024/4/29, 78, 29, 8
2024/4/30, 42, 11, 6
2024/5/1, 24, 13, 13
2024/5/2, 25, 6, 10
2024/5/3, 18, 2, 3
2024/5/4, 12, 14, 3
2024/5/5, 22, 42, 5
2024/5/6, 48, 43, 5
2024/5/7, 66, 42, 6
2024/5/8, 70, 17, 3
2024/5/9, 42, 3, 7
2024/5/10, 27, 15, 3
2024/5/11, 39, 2, 3
2024/5/12, 17, 7, 4
2024/5/13, 24, 16, 7
2024/5/14, 42, 3, 6
2024/5/15, 25, 18, 5
2024/5/16, 43, , 
2024/5/22, 56, 33, 11
2024/5/23, 60, 19, 2
2024/5/24, 47, 9, 2
2024/5/25, 36, 11, 4
2024/5/26, 35, 26, 11
2024/5/27, 54, 33, 15
2024/5/28, 66, 26, 10
2024/5/29, 58, 32, 14
2024/5/30, 65, 15, 8
2024/5/31, 43, 6, 10
2024/6/1, 31, 8, 8
2024/6/2, 33, 10, 11
2024/6/3, 26, 4, 5
2024/6/4, 12, 8, 8
2024/6/5, 12, 4, 9
2024/6/6, 13, 4, 6
2024/6/7, 13, 1, 3
2024/6/8, 11, 3, 5
2024/6/9, 12, 4, 12
2024/6/10, 12, 5, 10
2024/6/11, 13, 5, 6
2024/6/12, 13, 4, 6
2024/6/13, 12, 7, 4
2024/6/14, 12, 3, 4
2024/6/15, 12, 3, 6
2024/6/16, 12, 5, 12
2024/6/17, 13, 4, 20
2024/6/18, 12, 3, 9
2024/6/19, 12, 3, 6
2024/6/20, 12, 4, 4
2024/6/21, 14, 4, 3
2024/6/22, 12, 4, 5
2024/6/23, 12, 4, 4
2024/6/24, 13, 3, 6
2024/6/25, 13, 2, 
2024/6/26, 13, , 
2024/1/1, 42, 11, 
2024/1/2, 23, 9, 
2024/1/3, 22, 8, 
2024/1/4, 17, 8, 
2024/1/5, 23, 5, 
2024/1/6, 18, 5, 
2024/1/7, 16, 4, 
2024/1/8, 13, 6, 
2024/1/9, 20, 5, 
2024/1/10, 18, 7, 
2024/1/11, 17, 4, 
2024/1/12, 14, 5, 
2024/1/13, 14, 7, 
2024/1/14, 23, 10, 
2024/1/15, 28, 7, 
2024/1/16, 16, 17, 
2024/1/17, 43, 19, 
2024/1/18, 46, 21, 
2024/1/19, 102, 7, 
2024/1/20, 221, 8, 
2024/1/21, 310, 9, 
2024/1/22, 224, 7, 
2024/1/23, 152, 6, 
2024/1/24, 177, , 
2024/2/14, 44, , 
2024/2/15, 30, , 
2024/2/16, 23, , 
2024/2/17, 28, , 
2024/2/18, 19, 4, 10
